model,simulation,year,rate
M1_Poisson,787,2011,0.7258766722077099
M1_Poisson,787,2012,0.693623226832825
M1_Poisson,787,2013,0.6706214088103852
M1_Poisson,787,2014,0.6467753891771681
M1_Poisson,787,2015,0.625493602906334
M1_Poisson,787,2016,0.6126215106305557
M1_Poisson,787,2017,0.6303680981595092
M1_Poisson,787,2018,0.6000765403750478
M1_Poisson,787,2019,0.5960214231063503
M1_Poisson,787,2020,0.579734404642339
M1_Poisson,787,2021,0.5818673883626522
M1_Poisson,787,2022,0.5438644438371139
M1_Poisson,787,2023,0.5436244835207072
M1_Poisson,787,2024,0.5287652292870972
M1_Poisson,788,2010,0.17465257283897626
M1_Poisson,788,2011,0.18760389456186177
M1_Poisson,788,2012,0.1869282778735251
M1_Poisson,788,2013,0.2136092785699085
M1_Poisson,788,2014,0.20094249708778986
M1_Poisson,788,2015,0.21981782762070243
M1_Poisson,788,2016,0.21157145084992462
M1_Poisson,788,2017,0.2344069529652352
M1_Poisson,788,2018,0.22732491389207804
M1_Poisson,788,2019,0.21907676613108898
M1_Poisson,788,2020,0.21928356210244396
M1_Poisson,788,2021,0.24955761423961692
M1_Poisson,788,2022,0.2777708762950632
M1_Poisson,788,2023,0.2697703468819064
M1_Poisson,788,2024,0.26120012218016214
M1_Poisson,789,2010,0.5867360626710308
M1_Poisson,789,2011,0.5807541096071136
M1_Poisson,789,2012,0.5952538777674664
M1_Poisson,789,2013,0.5721962119599915
M1_Poisson,789,2014,0.5956793391930529
M1_Poisson,789,2015,0.5815300373821936
M1_Poisson,789,2016,0.5712949004522535
M1_Poisson,789,2017,0.5708077709611452
M1_Poisson,789,2018,0.5760938895267252
M1_Poisson,789,2019,0.5674572813057893
M1_Poisson,789,2020,0.5568574935833055
M1_Poisson,789,2021,0.5456958467783908
M1_Poisson,789,2022,0.5751695694302963
M1_Poisson,789,2023,0.5645238781589315
M1_Poisson,789,2024,0.5678980995776269
M1_Poisson,790,2010,0.7823147502280411
M1_Poisson,790,2011,0.7646639753027783
M1_Poisson,790,2012,0.7805912766803658
M1_Poisson,790,2013,0.7568099595658652
M1_Poisson,790,2014,0.7582336121995127
M1_Poisson,790,2015,0.7450113199599855
M1_Poisson,790,2016,0.7545355304881218
M1_Poisson,790,2017,0.7523006134969326
M1_Poisson,790,2018,0.7248373517030232
M1_Poisson,790,2019,0.7513389441469012
M1_Poisson,790,2020,0.7541011047874122
M1_Poisson,790,2021,0.7049547205162902
M1_Poisson,790,2022,0.7172849014882356
M1_Poisson,790,2023,0.7103391947727491
M1_Poisson,790,2024,0.6996768615800734
M1_Poisson,791,2010,0.4888125771315126
M1_Poisson,791,2011,0.488667247156917
M1_Poisson,791,2012,0.4629457775420919
M1_Poisson,791,2013,0.4394552032347308
M1_Poisson,791,2014,0.4087683998729217
M1_Poisson,791,2015,0.3988311483178014
M1_Poisson,791,2016,0.36674117585902166
M1_Poisson,791,2017,0.35659509202453993
M1_Poisson,791,2018,0.3326954968746013
M1_Poisson,791,2019,0.3226217801581229
M1_Poisson,791,2020,0.2879142952795447
M1_Poisson,791,2021,0.2826064328094098
M1_Poisson,791,2022,0.26584511416432705
M1_Poisson,791,2023,0.267368117613145
M1_Poisson,791,2024,0.25483513725338924
M1_Poisson,792,2010,0.30262381284541506
M1_Poisson,792,2011,0.3055489590754373
M1_Poisson,792,2012,0.3022670025188916
M1_Poisson,792,2013,0.3338476271547138
M1_Poisson,792,2014,0.3195488721804511
M1_Poisson,792,2015,0.32038119307113155
M1_Poisson,792,2016,0.3326922077246972
M1_Poisson,792,2017,0.32617586912065444
M1_Poisson,792,2018,0.33371603520857246
M1_Poisson,792,2019,0.35067584799795964
M1_Poisson,792,2020,0.3610088159803594
M1_Poisson,792,2021,0.3604142812532528
M1_Poisson,792,2022,0.3510646227235459
M1_Poisson,792,2023,0.3975689439800134
M1_Poisson,792,2024,0.3760055910445475
M1_Poisson,793,2010,0.9255781509899663
M1_Poisson,793,2011,0.8298371988706825
M1_Poisson,793,2012,0.7744929073313004
M1_Poisson,793,2013,0.6791338582677166
M1_Poisson,793,2014,0.6070634332309646
M1_Poisson,793,2015,0.5599431369451905
