year,country,accidents,train_km,country_name,year_centered,accidents_per_million_train_km,country_id
2014,LU,0.0,9.0,Luxembourg,-3,0.0,18
2015,LU,0.0,9.2,Luxembourg,-2,0.0,18
2016,LU,2.0,8.7,Luxembourg,-1,0.2298850574712644,18
2017,LU,1.0,8.9,Luxembourg,0,0.11235955056179775,18
2018,LU,2.0,8.7,Luxembourg,1,0.2298850574712644,18
2019,LU,0.0,8.6,Luxembourg,2,0.0,18
2020,LU,1.0,7.8,Luxembourg,3,0.12820512820512822,18
2021,LU,4.0,8.2,Luxembourg,4,0.48780487804878053,18
2022,LU,6.0,8.0,Luxembourg,5,0.75,18
2023,LU,3.0,8.1,Luxembourg,6,0.3703703703703704,18
2024,LU,2.0,8.665000000000001,Luxembourg,7,0.23081361800346217,18
2010,LV,41.0,16.6,Latvia,-7,2.469879518072289,19
2011,LV,35.0,18.5,Latvia,-6,1.8918918918918919,19
2012,LV,25.0,18.9,Latvia,-5,1.3227513227513228,19
2013,LV,26.0,17.6,Latvia,-4,1.477272727272727,19
2014,LV,22.0,19.0,Latvia,-3,1.1578947368421053,19
2015,LV,25.0,18.6,Latvia,-2,1.3440860215053763,19
2016,LV,18.0,16.5,Latvia,-1,1.0909090909090908,19
2017,LV,24.0,15.7,Latvia,0,1.5286624203821657,19
2018,LV,20.0,16.9,Latvia,1,1.183431952662722,19
2019,LV,19.0,15.3,Latvia,2,1.2418300653594772,19
2020,LV,9.0,11.6,Latvia,3,0.7758620689655172,19
2021,LV,11.0,11.1,Latvia,4,0.990990990990991,19
2022,LV,16.0,11.2,Latvia,5,1.4285714285714286,19
2023,LV,7.0,10.2,Latvia,6,0.6862745098039216,19
2024,LV,14.0,10.57,Latvia,7,1.324503311258278,19
2010,NL,24.0,146.2,Netherlands,-7,0.16415868673050618,20
2011,NL,29.0,149.1,Netherlands,-6,0.19450033534540578,20
2012,NL,30.0,149.8,Netherlands,-5,0.20026702269692923,20
2013,NL,36.0,151.0,Netherlands,-4,0.23841059602649006,20
2014,NL,20.0,155.5,Netherlands,-3,0.12861736334405144,20
2015,NL,31.0,155.8,Netherlands,-2,0.19897304236200256,20
2016,NL,28.0,157.5,Netherlands,-1,0.17777777777777778,20
2017,NL,26.0,158.9,Netherlands,0,0.16362492133417242,20
2018,NL,29.0,162.8,Netherlands,1,0.1781326781326781,20
2019,NL,25.0,164.5,Netherlands,2,0.1519756838905775,20
2020,NL,20.0,151.7,Netherlands,3,0.13183915622940015,20
2021,NL,22.0,159.9,Netherlands,4,0.13758599124452783,20
2022,NL,21.0,157.4,Netherlands,5,0.13341804320203304,20
2023,NL,20.0,152.0,Netherlands,6,0.13157894736842105,20
2024,NL,22.0,157.70000000000002,Netherlands,7,0.13950538998097653,20
2010,NO,20.0,46.5,Norway,-7,0.43010752688172044,21
2011,NO,36.0,45.9,Norway,-6,0.7843137254901961,21
2012,NO,19.0,46.8,Norway,-5,0.405982905982906,21
2013,NO,30.0,48.5,Norway,-4,0.6185567010309279,21
2014,NO,28.0,49.4,Norway,-3,0.5668016194331984,21
2015,NO,19.0,51.7,Norway,-2,0.36750483558994196,21
2016,NO,16.0,50.4,Norway,-1,0.31746031746031744,21
2017,NO,16.0,51.6,Norway,0,0.31007751937984496,21
2018,NO,25.0,51.9,Norway,1,0.4816955684007707,21
2019,NO,26.0,50.8,Norway,2,0.5118110236220472,21
2020,NO,20.0,55.9,Norway,3,0.35778175313059035,21
